m.04587m,Michael Michai Kitbunchu,1929-01-25,2028-12-31,"",Datum umrtia nemusi byt spravny.
m.04sw5ny,Liz Mermin,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.05kh2mn,Sam Slam,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.05q6prr,Lutz Mommartz,1934-03-06,2034-02-09,"",Datum umrtia nemusi byt spravny.
m.05wylld,Martin Polster,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.0651jk_,Ashli Aitken,1999-01-01,2009-06-14,"",""
m.06syyy,Sergio Rodríguez,1986-06-12,2086-05-18,"",Datum umrtia nemusi byt spravny.
m.06ztbpd,Jin Tianhe,1873-01-01,1947-01-01,"",""
m.07k8z3h,Aleksandr Aksyonov,1983-08-26,2083-08-01,"",Datum umrtia nemusi byt spravny.
m.07y8y6,Charles Fenno Jacobs,1904-12-14,1973-07-01,"",""
m.08075k3,I. F. Hellmuth,1845-01-01,1944-01-01,"",""
g.11_p4rccl,Vaino Haapalainen,1893-05-29,1945-11-08,"",""
g.12nvpk7td,Mi-na Jang,1993-04-08,2093-03-14,"",Datum umrtia nemusi byt spravny.
m.0105bgds,Sylvester Espersen Byder,1999-08-14,2099-07-20,"",Datum umrtia nemusi byt spravny.
m.010g39_l,Julie Ann Bohatch,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.010lfy1c,Stefano Bellotti,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.0114twlf,Allison Marsh,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.011jwpzv,Aaron Freeman,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.011ntwwv,Dan Nutu,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.01dyw8,Ronald Paulson,1930-05-27,2030-05-02,"",Datum umrtia nemusi byt spravny.
m.0253dk,Chen Kaige,1952-08-12,2052-07-18,"",Datum umrtia nemusi byt spravny.
m.025yq5r,Liam Burns,1978-10-30,2078-10-05,"",Datum umrtia nemusi byt spravny.
m.027ssf8,Mustapha Sama,1979-10-31,2079-10-06,"",Datum umrtia nemusi byt spravny.
m.02pv2h9,Alfredo Roberts,1965-03-17,2065-02-20,"",Datum umrtia nemusi byt spravny.
m.02rr6mk,Tim Sandercombe,1989-06-15,2014-08-25,"",""
m.02w979x,Wayne Simpson,1948-12-02,2048-11-07,"",Datum umrtia nemusi byt spravny.
m.03c6dc9,Gottlieb Stephanie,1741-02-19,1800-01-23,"",""
m.03pdbq,Bernardino Ramazzini,1633-11-03,1714-11-05,"",""
m.03qfqyz,Hemadpant,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.03wqxfd,Gregory A Meadows,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.0464yn2,Katherine L. Gordon,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.051_qlw,Thomas Allin,1757-05-14,1833-06-26,"",""
m.05n_h24,Darko Jelčić,1965-01-01,2064-12-07,"",Datum umrtia nemusi byt spravny.
m.05w0gtd,Peter Woodward,1944-01-01,2043-12-07,"",Datum umrtia nemusi byt spravny.
m.05xw70g,Allan Sutton,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.05y32fy,David L. McClure,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.05zvrtf,Giorgio Antoniotto,1680-01-01,1766-01-01,"",""
m.06zs7yq,Clayton Hill,1931-05-07,2009-07-26,"",""
g.120j31dr,Katja Wirth,1980-04-02,2080-03-08,"",Datum umrtia nemusi byt spravny.
m.0111bml4,Sanjeev - Lakshman,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.01146q0d,Krishna Kumar,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.011nhw2n,Taylor Nogosek,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.011wv627,Christian Volfing Jacobsen,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.012btzxh,Mrs. Chacko,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.023wrl,Eduard Rüppell,1794-11-20,1884-12-10,"",""
m.0264pwx,John Wilson Danenhower,1849-09-30,1887-04-20,"",""
m.027994z,Osman Kürşat Duman,1987-03-13,2087-02-16,"",Datum umrtia nemusi byt spravny.
m.02rjpy2,Akinpelu Obisesan,1889-01-01,1963-01-01,"",""
m.02z1h8h,Emir Preldžić,1987-09-06,2087-08-12,"",Datum umrtia nemusi byt spravny.
m.03bqw5g,Stephen G. Juelsgaard,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.03cmss1,Kaushal Inamdar,1971-10-02,2071-09-07,"",Datum umrtia nemusi byt spravny.
m.03gmh6x,Jason Kay,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.05c19x8,Balduin Wolff,1819-07-15,1907-11-21,"",""
m.05w8mhd,James Youniss,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.0660rkw,Tracy Maxwell Heard,1963-04-30,2063-04-05,"",Datum umrtia nemusi byt spravny.
m.066pth,Charles McMahon and Darwin Judge,1956-02-16,1975-04-29,"",""
m.07s50pc,Jan Kemp,1872-06-10,1946-12-31,"",""
m.080d883,Luis Rolando Ixquiac Xicara,1947-01-01,2046-12-07,"",Datum umrtia nemusi byt spravny.
g.119x72pzn,Kathrin Marchand,1990-11-15,2090-10-21,"",Datum umrtia nemusi byt spravny.
m.010rg361,Marc Roskin,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.01159jyz,Shmuel Rosenzweig,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.0115vhqg,Paul Cummins,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.011lzd7_,Herbert K. Schulz,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.0120y0d6,Yanis Linda,1994-03-01,2094-02-04,"",Datum umrtia nemusi byt spravny.
m.012w53my,Bakhtiyar Kozhatayev,1992-03-28,2092-03-03,"",Datum umrtia nemusi byt spravny.
m.01311hy7,Abbas Rahim,1979-01-01,2012-08-10,"",""
m.013f88kd,Allen Spraggett,1932-01-01,2031-12-07,"",Datum umrtia nemusi byt spravny.
m.01qg7c,Barry Sonnenfeld,1953-04-01,2053-03-07,"",Datum umrtia nemusi byt spravny.
m.01w5wtm,Ari Asulin,1982-10-15,2082-09-20,"",Datum umrtia nemusi byt spravny.
m.029js8,Tor Paulsson,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.02h6fjd,Janice Roberts,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.02qfnq,Claire Clairmont,1798-04-27,1879-03-19,"",""
m.02rb2yk,Robert Summers,1940-08-13,2040-07-19,"",Datum umrtia nemusi byt spravny.
m.03mc1mv,Johann Adam von Ickstatt,1702-01-06,1776-08-17,"",""
m.03nnzt_,Archer T. Gammon,1918-09-11,1945-01-11,"",""
m.03nt8fz,Ertan Uyanık,1979-01-01,2078-12-07,"",Datum umrtia nemusi byt spravny.
m.03wppt9,Michael J Pint,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.03wtcnn,Mary Dillon,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.04n4r2s,John Ochsendorf,1974-01-01,2073-12-07,"",Datum umrtia nemusi byt spravny.
m.05p2fc7,Ogden Pleissner,1905-01-01,1983-01-01,"",""
m.05qdrgy,Kurt Deckert,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.05w1ym9,Anthony Musson,1966-01-01,2065-12-07,"",Datum umrtia nemusi byt spravny.
m.05wgq1w,W. J. M. Mackenzie,1909-01-01,2008-12-07,"",Datum umrtia nemusi byt spravny.
m.06_wytm,Aleksandr Vladimirovich Kulikov,1988-03-19,2088-02-23,"",Datum umrtia nemusi byt spravny.
