id,name,birth,death,nationality_ref,nationality,height_meters,birth_validation,death_validation
m.011jtl3p,Hiroyuki Onishi,"","",m.03_3d,Hiroyuki Onishi,"",Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.026sdqn,David W. Atkinson,1948-01-01,2047-12-07,m.0d060g,David W. Atkinson,"","",Datum umrtia nemusi byt spravny.
m.027vnr7,Salahodin Ayubi,"","",m.05sb1,Salahodin Ayubi,"",Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.02qjv4s,Netinho,1984-04-24,2084-03-30,m.015fr,Netinho,1.73,"",Datum umrtia nemusi byt spravny.
m.03d3sfn,C. L. Lehmus,1780-07-07,1863-01-18,m.0345h,C. L. Lehmus,"","",""
m.04jf2n1,Joslain Mayebi,1986-10-14,2086-09-19,m.01nln,Joslain Mayebi,1.89,"",Datum umrtia nemusi byt spravny.
m.04yd9_v,Patrick Dwyer,1983-06-22,2083-05-28,m.09c7w0,Patrick Dwyer,1.8,"",Datum umrtia nemusi byt spravny.
m.05hjlxn,Zak Ludwig,1997-10-05,2097-09-10,m.0d060g,Zak Ludwig,"","",Datum umrtia nemusi byt spravny.
m.05t02h7,Miguel Ángel Espínola,1974-04-05,2074-03-11,m.06mkj,Miguel Ángel Espínola,1.8,"",Datum umrtia nemusi byt spravny.
m.07dcjr,Ron Williams,1949-01-01,2048-12-07,m.09c7w0,Ron Williams,"","",Datum umrtia nemusi byt spravny.
g.122hcylr,Miltinho,1943-10-18,2043-09-23,m.015fr,Miltinho,"","",Datum umrtia nemusi byt spravny.
m.010d4bjb,Molly Shaheen,"","",m.09c7w0,Molly Shaheen,"",Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.02pstb0,Vivian Della Chiesa,1915-10-09,2009-01-06,m.09c7w0,Vivian Della Chiesa,"","",""
m.02rfql0,Dan Sandifer,1927-03-01,1987-08-15,m.09c7w0,Dan Sandifer,"","",""
m.0329hj,Vivien Thomas,1910-08-29,1985-11-26,m.09c7w0,Vivien Thomas,"","",""
m.03grm0d,Sōichi Aikawa,1942-09-13,2042-08-19,m.03_3d,Sōichi Aikawa,"","",Datum umrtia nemusi byt spravny.
m.03skmx,J. M. S. Careless,1919-02-17,2009-04-06,m.0d060g,J. M. S. Careless,"","",""
m.04y2qk,James Anthony Murphy,1894-09-12,1924-09-15,m.09c7w0,James Anthony Murphy,"","",""
m.061myd,Julia Darling,1956-08-21,2005-04-13,m.07ssc,Julia Darling,"","",""
g.1228l_2c,Deuntem Salitul,1958-09-09,2058-08-15,m.07f1x,Deuntem Salitul,"","",Datum umrtia nemusi byt spravny.
m.0108vrzl,Joaquim Albino,1931-01-23,2030-12-29,m.015fr,Joaquim Albino,"","",Datum umrtia nemusi byt spravny.
m.0128ryz2,Catrien Eijken,1961-06-29,2061-06-04,m.059j2,Catrien Eijken,1.7,"",Datum umrtia nemusi byt spravny.
m.02rx71x,Vesna Trivalić,1965-03-13,2065-02-16,m.077qn,Vesna Trivalić,"","",Datum umrtia nemusi byt spravny.
m.02w6v3n,Wakahaguro Tomoaki,1934-11-25,1969-03-02,m.03_3d,Wakahaguro Tomoaki,1.76,"",""
m.04cwlrp,Master of Crea,"","",m.03rjj,Master of Crea,"",Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.04gv_p4,Sun Lingfeng,1978-08-14,2078-07-20,m.0d05w3,Sun Lingfeng,"","",Datum umrtia nemusi byt spravny.
m.04gvftl,Zhang Li,1980-02-03,2080-01-09,m.0d05w3,Zhang Li,"","",Datum umrtia nemusi byt spravny.
m.04hlrl,Vic Schroeder,1944-02-16,2044-01-22,m.0d060g,Vic Schroeder,"","",Datum umrtia nemusi byt spravny.
m.04lg20g,Óscar Moreno,1878-11-16,1971-05-26,m.05r4w,Óscar Moreno,"","",""
m.07r7n4,Cássio Raposo do Amaral,1943-09-09,2005-01-01,m.015fr,Cássio Raposo do Amaral,"","",""
m.080fnz1,Satoru Noda,1969-03-19,2069-02-22,m.03_3d,Satoru Noda,1.74,"",Datum umrtia nemusi byt spravny.
g.123213r6,Lisa Feulner,1990-01-31,2090-01-06,m.0345h,Lisa Feulner,1.7,"",Datum umrtia nemusi byt spravny.
m.010ffk_f,Justin Marie Bomboko,1928-09-22,2014-04-10,m.088xp,Justin Marie Bomboko,"","",""
m.0115tjqt,Yoshiaki,1982-12-07,2082-11-12,m.03_3d,Yoshiaki,"","",Datum umrtia nemusi byt spravny.
m.012_53,Melissa Joan Hart,1976-04-18,2076-03-24,m.09c7w0,Melissa Joan Hart,1.57,"",Datum umrtia nemusi byt spravny.
m.01l7c9,Martin Sargent,1975-08-18,2075-07-24,m.09c7w0,Martin Sargent,"","",Datum umrtia nemusi byt spravny.
