id,name,birth,death,nationality_ref,nationality,height_meters,birth_validation,death_validation
m.02pzbtf,Wolfgang de Beer,1964-01-02,2063-12-08,m.0345h,Wolfgang de Beer,1.81,"",Datum umrtia nemusi byt spravny.
m.03bztdd,Ibrahima Touré,1985-12-17,2085-11-22,m.06srk,Ibrahima Touré,1.88,"",Datum umrtia nemusi byt spravny.
m.03ct19l,Henry Blagrove,1887-04-26,1939-10-14,m.07ssc,Henry Blagrove,"","",""
m.03mdr98,Tommaso Reato,1984-05-12,2084-04-17,m.03rjj,Tommaso Reato,1.96,"",Datum umrtia nemusi byt spravny.
m.03qk2jc,Scotty Lago,1987-11-12,2087-10-18,m.09c7w0,Scotty Lago,1.85,"",Datum umrtia nemusi byt spravny.
m.03qnv83,Jim Shepard,1956-12-29,2056-12-04,m.09c7w0,Jim Shepard,"","",Datum umrtia nemusi byt spravny.
m.04n67pm,Edith Picht-Axenfeld,1914-01-01,2001-04-18,m.0345h,Edith Picht-Axenfeld,"","",""
m.05b8gfl,Hayley Cloake,"","",m.0chghy,Hayley Cloake,"",Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.0809vdl,Vyacheslav Kirillov,1989-06-20,2089-05-26,m.06bnz,Vyacheslav Kirillov,1.74,"",Datum umrtia nemusi byt spravny.
m.0112l5l3,Astrid Lily Box,"","",m.09c7w0,Astrid Lily Box,"",Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.011cm_db,Yuya Ogawa,1977-01-01,2076-12-07,m.03_3d,Yuya Ogawa,"","",Datum umrtia nemusi byt spravny.
m.02phtfp,Frans Timmermans,1961-05-06,2061-04-11,m.059j2,Frans Timmermans,"","",Datum umrtia nemusi byt spravny.
m.02vl76_,Josh Mandel,1958-10-09,2058-09-14,m.09c7w0,Josh Mandel,"","",Datum umrtia nemusi byt spravny.
m.03b_gkf,George I. Cannon,1920-03-09,2009-08-04,m.09c7w0,George I. Cannon,"","",""
m.03c189b,Farid Simaika,1907-06-18,1943-09-11,m.02k54,Farid Simaika,"","",""
m.0415sn_,Magno Nazaret,1986-01-17,2085-12-23,m.015fr,Magno Nazaret,1.75,"",Datum umrtia nemusi byt spravny.
m.05q6prr,Lutz Mommartz,1934-03-06,2034-02-09,m.0345h,Lutz Mommartz,"","",Datum umrtia nemusi byt spravny.
m.0651jk_,Ashli Aitken,1999-01-01,2009-06-14,m.0chghy,Ashli Aitken,"","",""
m.06syyy,Sergio Rodríguez,1986-06-12,2086-05-18,m.06mkj,Sergio Rodríguez,1.91,"",Datum umrtia nemusi byt spravny.
m.07k8z3h,Aleksandr Aksyonov,1983-08-26,2083-08-01,m.06bnz,Aleksandr Aksyonov,1.72,"",Datum umrtia nemusi byt spravny.
m.07y8y6,Charles Fenno Jacobs,1904-12-14,1973-07-01,m.09c7w0,Charles Fenno Jacobs,"","",""
m.01dyw8,Ronald Paulson,1930-05-27,2030-05-02,m.09c7w0,Ronald Paulson,"","",Datum umrtia nemusi byt spravny.
m.0253dk,Chen Kaige,1952-08-12,2052-07-18,m.0d05w3,Chen Kaige,"","",Datum umrtia nemusi byt spravny.
m.025yq5r,Liam Burns,1978-10-30,2078-10-05,m.05bcl,Liam Burns,1.83,"",Datum umrtia nemusi byt spravny.
m.027ssf8,Mustapha Sama,1979-10-31,2079-10-06,m.06s_2,Mustapha Sama,1.91,"",Datum umrtia nemusi byt spravny.
m.02pv2h9,Alfredo Roberts,1965-03-17,2065-02-20,m.09c7w0,Alfredo Roberts,1.91,"",Datum umrtia nemusi byt spravny.
m.02rr6mk,Tim Sandercombe,1989-06-15,2014-08-25,m.02jx1,Tim Sandercombe,1.96,"",""
m.03c6dc9,Gottlieb Stephanie,1741-02-19,1800-01-23,m.0h7x,Gottlieb Stephanie,"","",""
m.03pdbq,Bernardino Ramazzini,1633-11-03,1714-11-05,m.03rjj,Bernardino Ramazzini,"","",""
m.05n_h24,Darko Jelčić,1965-01-01,2064-12-07,m.087vz,Darko Jelčić,"","",Datum umrtia nemusi byt spravny.
m.06zs7yq,Clayton Hill,1931-05-07,2009-07-26,m.09c7w0,Clayton Hill,"","",""
g.120j31dr,Katja Wirth,1980-04-02,2080-03-08,m.0h7x,Katja Wirth,"","",Datum umrtia nemusi byt spravny.
m.023wrl,Eduard Rüppell,1794-11-20,1884-12-10,m.0345h,Eduard Rüppell,"","",""
m.0264pwx,John Wilson Danenhower,1849-09-30,1887-04-20,m.09c7w0,John Wilson Danenhower,"","",""
m.027994z,Osman Kürşat Duman,1987-03-13,2087-02-16,m.01znc_,Osman Kürşat Duman,1.75,"",Datum umrtia nemusi byt spravny.
m.02rjpy2,Akinpelu Obisesan,1889-01-01,1963-01-01,m.05cgv,Akinpelu Obisesan,"","",""
m.02z1h8h,Emir Preldžić,1987-09-06,2087-08-12,m.01znc_,Emir Preldžić,2.06,"",Datum umrtia nemusi byt spravny.
m.02z1h8h,Emir Preldžić,1987-09-06,2087-08-12,m.0166b,Emir Preldžić,2.06,"",Datum umrtia nemusi byt spravny.
m.02z1h8h,Emir Preldžić,1987-09-06,2087-08-12,m.06t8v,Emir Preldžić,2.06,"",Datum umrtia nemusi byt spravny.
m.03cmss1,Kaushal Inamdar,1971-10-02,2071-09-07,m.03rk0,Kaushal Inamdar,"","",Datum umrtia nemusi byt spravny.
m.066pth,Charles McMahon and Darwin Judge,1956-02-16,1975-04-29,m.09c7w0,Charles McMahon and Darwin Judge,"","",""
g.119x72pzn,Kathrin Marchand,1990-11-15,2090-10-21,m.0345h,Kathrin Marchand,1.82,"",Datum umrtia nemusi byt spravny.
m.012w53my,Bakhtiyar Kozhatayev,1992-03-28,2092-03-03,m.047lj,Bakhtiyar Kozhatayev,"","",Datum umrtia nemusi byt spravny.
m.013f88kd,Allen Spraggett,1932-01-01,2031-12-07,m.0d060g,Allen Spraggett,"","",Datum umrtia nemusi byt spravny.
m.01qg7c,Barry Sonnenfeld,1953-04-01,2053-03-07,m.09c7w0,Barry Sonnenfeld,"","",Datum umrtia nemusi byt spravny.
m.02qfnq,Claire Clairmont,1798-04-27,1879-03-19,m.07ssc,Claire Clairmont,"","",""
m.02rb2yk,Robert Summers,1940-08-13,2040-07-19,m.09c7w0,Robert Summers,"","",Datum umrtia nemusi byt spravny.
m.03mc1mv,Johann Adam von Ickstatt,1702-01-06,1776-08-17,m.0345h,Johann Adam von Ickstatt,"","",""
m.03nnzt_,Archer T. Gammon,1918-09-11,1945-01-11,m.09c7w0,Archer T. Gammon,"","",""
m.04n4r2s,John Ochsendorf,1974-01-01,2073-12-07,m.09c7w0,John Ochsendorf,"","",Datum umrtia nemusi byt spravny.
m.05p2fc7,Ogden Pleissner,1905-01-01,1983-01-01,m.09c7w0,Ogden Pleissner,"","",""
m.06_wytm,Aleksandr Vladimirovich Kulikov,1988-03-19,2088-02-23,m.06bnz,Aleksandr Vladimirovich Kulikov,1.86,"",Datum umrtia nemusi byt spravny.
m.011v6gpq,Jack Slater,1995-02-15,2095-01-21,m.07ssc,Jack Slater,"","",Datum umrtia nemusi byt spravny.
m.01wtcr,Gerry Philbin,1941-07-31,2041-07-06,m.09c7w0,Gerry Philbin,1.88,"",Datum umrtia nemusi byt spravny.
m.0265jst,Donald G. Davis,1971-08-29,2071-08-04,m.09c7w0,Donald G. Davis,"","",Datum umrtia nemusi byt spravny.
m.02mk1d,John Sevier,1745-09-23,1815-09-24,m.09c7w0,John Sevier,"","",""
m.02mk1d,John Sevier,1745-09-23,1815-09-24,m.0f8l9c,John Sevier,"","",""
m.02q7ll0,Gerald Barbarito,1950-01-04,2049-12-10,m.09c7w0,Gerald Barbarito,"","",Datum umrtia nemusi byt spravny.
m.03ccw31,Klaus Segbers,1954-01-01,2053-12-07,m.0345h,Klaus Segbers,"","",Datum umrtia nemusi byt spravny.
m.04jqs3,Eric Archibald McNair,1894-06-16,1918-08-12,m.07ssc,Eric Archibald McNair,"","",""
m.056hpn,Robert Ludvigovich Bartini,1897-05-14,1974-12-06,m.03rjj,Robert Ludvigovich Bartini,"","",""
m.056hpn,Robert Ludvigovich Bartini,1897-05-14,1974-12-06,m.06bnz,Robert Ludvigovich Bartini,"","",""
m.06w844,Heinz Winkler,1949-07-17,2049-06-22,m.0345h,Heinz Winkler,"","",Datum umrtia nemusi byt spravny.
m.010lx7km,Son Jun-ho,1992-05-12,2092-04-17,m.06qd3,Son Jun-ho,1.78,"",Datum umrtia nemusi byt spravny.
m.011lmkl5,Fernando Borel,1913-01-01,1989-10-16,m.07twz,Fernando Borel,"","",""
m.0271pfz,Justin Brice Guariglia,1974-01-01,2073-12-07,m.09c7w0,Justin Brice Guariglia,"","",Datum umrtia nemusi byt spravny.
m.02ppk5t,William A. Spinks,1865-07-11,1933-01-15,m.09c7w0,William A. Spinks,"","",""
m.02prs0t,Art Thoms,1947-08-28,2047-08-03,m.09c7w0,Art Thoms,"","",Datum umrtia nemusi byt spravny.
m.02r73hs,Jack Kirrane,1928-08-20,2028-07-26,m.09c7w0,Jack Kirrane,1.78,"",Datum umrtia nemusi byt spravny.
m.02rv8w8,Kermit Murdock,1908-03-20,1981-02-11,m.09c7w0,Kermit Murdock,"","",""
m.03bsg5y,Andrew Weinreich,"","",m.09c7w0,Andrew Weinreich,"",Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.03mh0dp,Art Frantz,1921-03-01,2008-01-24,m.09c7w0,Art Frantz,"","",""
m.043lmzr,Alexander Gontchenkov,1970-04-04,2070-03-10,m.07t21,Alexander Gontchenkov,"","",Datum umrtia nemusi byt spravny.
m.043m19w,Arun Karthik,1986-02-15,2086-01-21,m.03rk0,Arun Karthik,"","",Datum umrtia nemusi byt spravny.
m.04f6g91,István Hamar,1970-10-06,2070-09-11,m.03gj2,István Hamar,1.81,"",Datum umrtia nemusi byt spravny.
m.04ybb7,Aaron Albert Mossell,1863-01-01,1951-01-01,m.0d060g,Aaron Albert Mossell,"","",""
m.04ybb7,Aaron Albert Mossell,1863-01-01,1951-01-01,m.09c7w0,Aaron Albert Mossell,"","",""
m.05p16fg,Michael Lahoud,1986-09-15,2086-08-21,m.06s_2,Michael Lahoud,1.73,"",Datum umrtia nemusi byt spravny.
m.069f86,Chase Stevens,1979-01-17,2078-12-23,m.09c7w0,Chase Stevens,1.82,"",Datum umrtia nemusi byt spravny.
m.01067bs4,Richard Otto Hertz,1898-05-23,1961-08-02,m.0345h,Richard Otto Hertz,"","",""
m.01067bs4,Richard Otto Hertz,1898-05-23,1961-08-02,m.09c7w0,Richard Otto Hertz,"","",""
m.01kp9_8,Rappin' 4-Tay,1968-03-02,2068-02-06,m.09c7w0,Rappin' 4-Tay,"","",Datum umrtia nemusi byt spravny.
m.01v172,Edward Sexby,1616-01-01,1658-01-13,m.02jx1,Edward Sexby,"","",""
m.027cggv,Luis Antonio Jiménez,1982-05-07,2082-04-12,m.07ylj,Luis Antonio Jiménez,1.91,"",Datum umrtia nemusi byt spravny.
m.02hskn,Andrzej Frycz Modrzewski,1503-09-20,1572-01-01,m.05qhw,Andrzej Frycz Modrzewski,"","",""
m.02ptcv8,Lisa Lindgren,1960-07-28,2005-01-01,m.09c7w0,Lisa Lindgren,"","",""
m.02rs_c3,Jeanne-Marie Martin,1987-06-08,2087-05-14,m.0f8l9c,Jeanne-Marie Martin,"","",Datum umrtia nemusi byt spravny.
m.03d51yp,Don Ferguson,1963-01-02,2062-12-08,m.0d060g,Don Ferguson,"","",Datum umrtia nemusi byt spravny.
m.03hgw6k,Zvi Sherf,1951-12-18,2051-11-23,m.03spz,Zvi Sherf,"","",Datum umrtia nemusi byt spravny.
m.04y7wvb,Chad Taylor,1964-01-01,2063-12-07,m.0ctw_b,Chad Taylor,"","",Datum umrtia nemusi byt spravny.
m.05mr233,Hashmatullah Barakzai,1987-08-26,2087-08-01,m.0jdd,Hashmatullah Barakzai,1.75,"",Datum umrtia nemusi byt spravny.
m.05wwd0c,Nicholas A Basbanes,1943-05-25,2043-04-30,m.09c7w0,Nicholas A Basbanes,"","",Datum umrtia nemusi byt spravny.
m.07k7ph2,Theodore E. Margeson,"","",m.0d060g,Theodore E. Margeson,"",Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.0114d3cs,Akio Fukamachi,1975-11-19,2075-10-25,m.03_3d,Akio Fukamachi,"","",Datum umrtia nemusi byt spravny.
m.021d81,Béla III of Hungary,1148-01-01,1196-04-23,m.03l5m1,Béla III of Hungary,"","",""
m.025xj1d,Richard Ofshe,1941-02-27,2041-02-02,m.09c7w0,Richard Ofshe,"","",Datum umrtia nemusi byt spravny.
m.027p9wz,Stephanie Rawlings-Blake,1970-03-17,2070-02-20,m.09c7w0,Stephanie Rawlings-Blake,"","",Datum umrtia nemusi byt spravny.
m.02806f5,Amédée Bollée,1844-01-01,1917-01-01,m.0f8l9c,Amédée Bollée,"","",""
m.02w9qh1,Jacob Georg Christian Adler,1756-12-08,1834-08-22,m.0345h,Jacob Georg Christian Adler,"","",""
m.02z0jy7,John Smith,1951-01-01,2050-12-07,m.09c7w0,John Smith,"","",Datum umrtia nemusi byt spravny.
m.030msd,Vintilă Horia,1915-12-18,1992-04-04,m.06c1y,Vintilă Horia,"","",""
m.04mws_q,Liban Abdi,1988-10-05,2088-09-10,m.05b4w,Liban Abdi,1.82,"",Datum umrtia nemusi byt spravny.
m.04mws_q,Liban Abdi,1988-10-05,2088-09-10,m.06tgw,Liban Abdi,1.82,"",Datum umrtia nemusi byt spravny.
m.05y2bhj,Thomas Macaulay,1946-01-01,2045-12-07,m.09c7w0,Thomas Macaulay,"","",Datum umrtia nemusi byt spravny.
m.06d11m,Antoni Cieszyński,1882-05-31,1941-07-04,m.05qhw,Antoni Cieszyński,"","",""
m.06w1wzz,Emil Forsberg,1991-10-23,2091-09-28,m.0d0vqn,Emil Forsberg,1.75,"",Datum umrtia nemusi byt spravny.
m.0806jqm,Marie-Pierre Parent,1982-05-15,2082-04-20,m.0d060g,Marie-Pierre Parent,1.65,"",Datum umrtia nemusi byt spravny.
g.120z6_xm,Mayu Fukunoue,1978-12-04,2078-11-09,m.03_3d,Mayu Fukunoue,1.65,"",Datum umrtia nemusi byt spravny.
m.01s5kc,Scipio Africanus Jones,1863-08-03,1943-03-02,m.09c7w0,Scipio Africanus Jones,"","",""
m.026qrts,Charles Van Rensselaer III,1926-04-19,1999-07-16,m.09c7w0,Charles Van Rensselaer III,"","",""
m.02z79fg,Daniel Hollands,1927-01-20,2006-07-07,m.0d060g,Daniel Hollands,"","",""
m.03c0wb6,Vadim Sayutin,1970-12-31,2070-12-06,m.047lj,Vadim Sayutin,"","",Datum umrtia nemusi byt spravny.
m.03c0wb6,Vadim Sayutin,1970-12-31,2070-12-06,m.06bnz,Vadim Sayutin,"","",Datum umrtia nemusi byt spravny.
m.03hgtl6,Abdul Rahman bin Saud Al Saud,1946-11-19,2004-07-29,m.01z215,Abdul Rahman bin Saud Al Saud,"","",""
m.03ypgf,Monkey Punch,1937-05-26,2037-05-01,m.03_3d,Monkey Punch,"","",Datum umrtia nemusi byt spravny.
m.052_mc0,John Machado,"","",m.015fr,John Machado,"",Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.0695k1,Chris Perry,1981-12-27,2081-12-02,m.09c7w0,Chris Perry,"","",Datum umrtia nemusi byt spravny.
m.06qcb4,Tom Craddick,1943-09-19,2043-08-25,m.09c7w0,Tom Craddick,"","",Datum umrtia nemusi byt spravny.
g.122rv880,Angelo D'Alessandro,1926-04-17,2011-02-01,m.03rjj,Angelo D'Alessandro,"","",""
m.0131jr36,Dennis Leston,1917-02-17,1981-10-07,m.01194hy2,Dennis Leston,"","",""
m.0134y1v7,Yoshinobu Ota,1972-11-13,2072-10-19,m.03_3d,Yoshinobu Ota,1.65,"",Datum umrtia nemusi byt spravny.
m.02_x0l,Joe D'Amato,1936-12-15,1999-01-23,m.03rjj,Joe D'Amato,"","",""
m.02cqd1,Xu Zhimo,1897-01-15,1931-11-19,m.0v4lvkh,Xu Zhimo,"","",""
m.02cqd1,Xu Zhimo,1897-01-15,1931-11-19,m.0d05w3,Xu Zhimo,"","",""
m.02rwv9s,Salih Jaber,1985-10-24,2085-09-29,m.0d05q4,Salih Jaber,"","",Datum umrtia nemusi byt spravny.
m.02vx_jf,Wilbur Marshall Urban,1873-01-01,1952-01-01,m.09c7w0,Wilbur Marshall Urban,"","",""
m.02z6_cy,Enrique González Pedrero,1930-01-01,2029-12-07,m.0b90_r,Enrique González Pedrero,"","",Datum umrtia nemusi byt spravny.
m.03qnyjj,Travis Binnion,1986-11-10,2086-10-16,m.03rt9,Travis Binnion,1.75,"",Datum umrtia nemusi byt spravny.
m.04645pp,Gebhard Müller,1900-04-17,1990-08-07,m.0345h,Gebhard Müller,"","",""
m.04cyvyz,Jake Friend,1990-02-01,2090-01-07,m.0chghy,Jake Friend,1.75,"",Datum umrtia nemusi byt spravny.
m.04dm0fp,Pietro Ferrero Jr.,1963-09-11,2011-04-18,m.03rjj,Pietro Ferrero Jr.,"","",""
m.06jhgr,Georg Ferdinand Howaldt,1802-04-08,1883-01-19,m.0345h,Georg Ferdinand Howaldt,"","",""
m.01x0wsy,Stephen Cleobury,1948-12-31,2048-12-06,m.02jx1,Stephen Cleobury,"","",Datum umrtia nemusi byt spravny.
m.01x0wsy,Stephen Cleobury,1948-12-31,2048-12-06,m.07ssc,Stephen Cleobury,"","",Datum umrtia nemusi byt spravny.
m.0284mqp,Jan Buzek,1874-03-27,1940-11-24,m.05qhw,Jan Buzek,"","",""
m.02q3yg5,Robert Bolling,1738-01-01,1775-01-01,m.09c7w0,Robert Bolling,"","",""
m.02qt068,Jesse Fibiger,1978-04-04,2078-03-10,m.0d060g,Jesse Fibiger,1.91,"",Datum umrtia nemusi byt spravny.
m.02rhhr8,Jenni Baird,1976-01-01,2075-12-07,m.0chghy,Jenni Baird,"","",Datum umrtia nemusi byt spravny.
m.02rkzwn,Melvin Clark George,1849-05-13,1933-02-22,m.09c7w0,Melvin Clark George,"","",""
m.04pq4b,Chris Higgins,1983-06-02,2083-05-08,m.09c7w0,Chris Higgins,1.83,"",Datum umrtia nemusi byt spravny.
m.056412,Claudia Gonson,1968-04-05,2068-03-11,m.09c7w0,Claudia Gonson,"","",Datum umrtia nemusi byt spravny.
m.07ldk4,Bobby Simmons,1980-06-02,2080-05-08,m.09c7w0,Bobby Simmons,1.98,"",Datum umrtia nemusi byt spravny.
m.07p0hy,Karl Bermingham,1985-10-06,2085-09-11,m.03rt9,Karl Bermingham,1.83,"",Datum umrtia nemusi byt spravny.
m.07r8t7,John Lambie,1868-12-18,1923-12-26,m.06q1r,John Lambie,"","",""
g.1z2v7vhry,Praptpadol Suwanbang,1969-07-09,2069-06-14,m.07f1x,Praptpadol Suwanbang,"","",Datum umrtia nemusi byt spravny.
m.0116232c,Jan Melzer,1969-02-11,2069-01-17,m.0345h,Jan Melzer,"","",Datum umrtia nemusi byt spravny.
m.02qzgfz,R. Laird Harris,1911-03-10,2008-04-25,m.09c7w0,R. Laird Harris,"","",""
m.02w3l2k,Reinhard Lauck,1946-09-16,1997-10-22,m.0345h,Reinhard Lauck,1.76,"",""
m.036skp,John Batman,1801-01-21,1839-05-06,m.07ssc,John Batman,"","",""
m.036skp,John Batman,1801-01-21,1839-05-06,m.0chghy,John Batman,"","",""
m.03hj1rl,Gérard Gili,1952-08-07,2052-07-13,m.0f8l9c,Gérard Gili,"","",Datum umrtia nemusi byt spravny.
m.04fllrc,Murray Blum,1917-02-02,1989-04-02,m.09c7w0,Murray Blum,"","",""
m.04lgm_s,John C. Austin,1870-02-13,1963-09-03,m.09c7w0,John C. Austin,"","",""
m.051g1t,William Gallas,1977-08-17,2077-07-23,m.0f8l9c,William Gallas,1.83,"",Datum umrtia nemusi byt spravny.
m.05qdj4s,C. B. Colby,1904-09-07,1977-10-31,m.09c7w0,C. B. Colby,"","",""
m.05s_127,Gene DeWeese,1934-01-31,2012-03-19,m.09c7w0,Gene DeWeese,"","",""
m.07bspn,Mike Smith,1970-07-16,2070-06-21,m.09c7w0,Mike Smith,"","",Datum umrtia nemusi byt spravny.
m.07k9pt8,Noah Kadner,"","",m.09c7w0,Noah Kadner,"",Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.07kg27w,Phil Devaney,1969-02-12,2069-01-18,m.02jx1,Phil Devaney,"","",Datum umrtia nemusi byt spravny.
g.11vjpcw91,Margit Schaumäker,1925-05-12,2025-04-17,m.0345h,Margit Schaumäker,"","",Datum umrtia nemusi byt spravny.
m.0114fdpy,Gonzalo Piermateri,1995-05-06,2095-04-11,m.0jgd,Gonzalo Piermateri,"","",Datum umrtia nemusi byt spravny.
m.0276912,Zehra Nigah,"","",m.05sb1,Zehra Nigah,"",Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.027qxr_,Jack Drummond,1891-01-12,1952-08-01,m.07ssc,Jack Drummond,"","",""
m.0288sby,Ori Uzan,1978-12-27,2078-12-02,m.03spz,Ori Uzan,1.75,"",Datum umrtia nemusi byt spravny.
m.02qygyl,Steven Gregory,1987-03-19,2087-02-22,m.02jx1,Steven Gregory,1.85,"",Datum umrtia nemusi byt spravny.
m.02xb23y,Magnus Bahne,1979-03-15,2079-02-18,m.02vzc,Magnus Bahne,1.88,"",Datum umrtia nemusi byt spravny.
m.02z1lwc,Raffaele Sansone,1910-09-20,1994-09-11,m.07twz,Raffaele Sansone,"","",""
m.02z1lwc,Raffaele Sansone,1910-09-20,1994-09-11,m.03rjj,Raffaele Sansone,"","",""
m.03c87f0,Jordan Murch,1989-09-15,2089-08-21,m.06q1r,Jordan Murch,1.83,"",Datum umrtia nemusi byt spravny.
m.03cv67g,Birnur Garland,1976-08-27,2076-08-02,m.01znc_,Birnur Garland,"","",Datum umrtia nemusi byt spravny.
m.03m7kww,Mia Mckenna-Bruce,1997-07-03,2097-06-08,m.02jx1,Mia Mckenna-Bruce,"","",Datum umrtia nemusi byt spravny.
m.04q7drv,Bill Reinhold,1955-03-18,2055-02-21,m.09c7w0,Bill Reinhold,"","",Datum umrtia nemusi byt spravny.
m.068cbw,Kareem Campbell,1973-11-14,2073-10-20,m.09c7w0,Kareem Campbell,"","",Datum umrtia nemusi byt spravny.
m.0848yr,Walter W. Winans,1852-04-05,1920-08-12,m.09c7w0,Walter W. Winans,"","",""
g.1234t00c,Gerhard Trampusch,1978-08-11,2078-07-17,m.0h7x,Gerhard Trampusch,"","",Datum umrtia nemusi byt spravny.
m.02qvz34,Madre Hill,1976-01-02,2075-12-08,m.09c7w0,Madre Hill,1.85,"",Datum umrtia nemusi byt spravny.
m.02xr_b,Zutty Singleton,1898-05-14,1975-07-14,m.09c7w0,Zutty Singleton,"","",""
m.03nr9xx,Gerald L. Endl,1915-08-20,1944-07-11,m.09c7w0,Gerald L. Endl,"","",""
m.055ml5,Kenneth Pomeranz,1958-11-04,2058-10-10,m.09c7w0,Kenneth Pomeranz,"","",Datum umrtia nemusi byt spravny.
m.07ksvwm,Stéphan Martens,1931-12-15,2031-11-20,m.0154j,Stéphan Martens,"","",Datum umrtia nemusi byt spravny.
m.07ykqsx,Charles Minogue,2007-01-01,2106-12-08,m.0chghy,Charles Minogue,"","",Datum umrtia nemusi byt spravny.
m.02prygc,Ger Brady,"","",m.03rt9,Ger Brady,"",Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.03gqt14,Jan Wohlschlag,1958-07-14,2058-06-19,m.09c7w0,Jan Wohlschlag,"","",Datum umrtia nemusi byt spravny.
m.03sz4v,Erika Harold,1980-02-20,2080-01-26,m.09c7w0,Erika Harold,"","",Datum umrtia nemusi byt spravny.
m.04137pz,Johan Teterisa,1961-01-01,2060-12-07,m.03ryn,Johan Teterisa,"","",Datum umrtia nemusi byt spravny.
m.048tz0,J. D. Souther,1945-11-02,2045-10-08,m.09c7w0,J. D. Souther,"","",Datum umrtia nemusi byt spravny.
m.04mth5c,Sara de Roo,1970-12-10,2070-11-15,m.0154j,Sara de Roo,"","",Datum umrtia nemusi byt spravny.
m.065ghl,Kenneth Carpenter,1949-09-21,2049-08-27,m.09c7w0,Kenneth Carpenter,"","",Datum umrtia nemusi byt spravny.
m.06zklw7,Ante Grgurević,1975-08-13,2075-07-19,m.01pj7,Ante Grgurević,2.0,"",Datum umrtia nemusi byt spravny.
m.012fs4,Yves Saint Laurent,1936-08-01,2008-06-01,m.0f8l9c,Yves Saint Laurent,"","",""
m.01rcb_,Kazuo Umezu,1936-08-03,2036-07-09,m.03_3d,Kazuo Umezu,"","",Datum umrtia nemusi byt spravny.
m.025w445,Jimmy Kauleza,1977-09-16,2077-08-22,m.0hzlz,Jimmy Kauleza,1.73,"",Datum umrtia nemusi byt spravny.
m.025yzg_,Aida Shanayeva,1986-04-22,2086-03-28,m.06bnz,Aida Shanayeva,1.78,"",Datum umrtia nemusi byt spravny.
m.02pgycx,Karen Mayo-Chandler,1958-04-18,2006-07-11,m.02jx1,Karen Mayo-Chandler,"","",""
m.03b_nkb,Steven Rushton,1987-10-30,2087-10-05,m.02jx1,Steven Rushton,"","",Datum umrtia nemusi byt spravny.
m.03y7rcq,Josh Carter,1986-11-20,2086-10-26,m.09c7w0,Josh Carter,2.01,"",Datum umrtia nemusi byt spravny.
m.05h4j1,Yuri Baiborodov,1986-04-12,2086-03-18,m.06bnz,Yuri Baiborodov,"","",Datum umrtia nemusi byt spravny.
m.07b5vr,Rachel Friend,1970-01-08,2069-12-14,m.0chghy,Rachel Friend,"","",Datum umrtia nemusi byt spravny.
m.07sm7s,Steven Pienaar,1982-03-17,2082-02-20,m.0hzlz,Steven Pienaar,1.73,"",Datum umrtia nemusi byt spravny.
m.0268k8d,Masaaki Sawanobori,1970-01-12,2069-12-18,m.03_3d,Masaaki Sawanobori,1.7,"",Datum umrtia nemusi byt spravny.
m.028193k,Adam O. Brown,"","",m.0d060g,Adam O. Brown,"",Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.03_0yq,Greg Iles,1960-01-01,2059-12-07,m.09c7w0,Greg Iles,"","",Datum umrtia nemusi byt spravny.
m.03c9_y6,Melvin Bullitt,1984-11-13,2084-10-19,m.09c7w0,Melvin Bullitt,1.85,"",Datum umrtia nemusi byt spravny.
m.03h2mm9,Bovar Karim,1984-05-04,2084-04-09,m.0f8l9c,Bovar Karim,1.7,"",Datum umrtia nemusi byt spravny.
m.03wb2d9,Rocko Schamoni,1966-05-08,2066-04-13,m.0345h,Rocko Schamoni,"","",Datum umrtia nemusi byt spravny.
m.04bgh6,John Toshack,1949-03-22,2049-02-25,m.0j5g9,John Toshack,1.85,"",Datum umrtia nemusi byt spravny.
m.04q4yq,Mac Raboy,1914-04-17,1967-12-12,m.09c7w0,Mac Raboy,"","",""
m.064l6hd,Derek Farr,1912-02-07,1986-03-22,m.07ssc,Derek Farr,"","",""
g.120lqcnl,Michael Wollitz,1961-03-28,2061-03-03,m.0345h,Michael Wollitz,1.89,"",Datum umrtia nemusi byt spravny.
g.122z2gvf,Heinrich Augustin,1937-10-30,2037-10-05,m.0345h,Heinrich Augustin,"","",Datum umrtia nemusi byt spravny.
m.010dx8jb,Tammy Taylor,"","",m.09c7w0,Tammy Taylor,"",Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
m.0114srnf,Sasha Huckstepp,1973-01-01,2072-12-07,m.0chghy,Sasha Huckstepp,"","",Datum umrtia nemusi byt spravny.
m.011cmh2j,Eiji Mitsuzono,1968-04-14,2068-03-20,m.03_3d,Eiji Mitsuzono,"","",Datum umrtia nemusi byt spravny.
