id,name,alias,birth,death,b_note,d_note
g.11bc168pcy,Hewavitharana Dingiri Appuhamy,-,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
g.121pkdqb,Ken Ograjenšek,-,1991-08-30,2091-08-05,"",Datum umrtia nemusi byt spravny.
g.120mh_37,Ibuki,Yuki Anai,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
g.122zkcbl,Mathias Mégard,-,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
g.1237_wn9,Erik Stenstadvold,-,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
g.1216x13w,Even de Tissot,-,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
g.122vwy86,Alfred Drabits,-,1959-04-06,2059-03-12,"",Datum umrtia nemusi byt spravny.
g.122kcm1n,Louise Conte,Luisa Conte,1923-07-25,1995-10-19,"",""
g.122kcm1n,Louise Conte,Louise Conte sociétaire de la Comédie Française,1923-07-25,1995-10-19,"",""
g.122kcm1n,Louise Conte,Louise Conte de la Comédie Française,1923-07-25,1995-10-19,"",""
g.122kcm1n,Louise Conte,Louise Elisabeth Conte,1923-07-25,1995-10-19,"",""
g.122kcpxj,Harris Birkeland,-,1904-01-01,1961-01-01,"",""
g.1239jnzr,Hiromi Wada,裕美,1988-07-11,2088-06-16,"",Datum umrtia nemusi byt spravny.
g.1239jnzr,Hiromi Wada,和田裕美,1988-07-11,2088-06-16,"",Datum umrtia nemusi byt spravny.
g.1239jnzr,Hiromi Wada,"Wada, Hiromi",1988-07-11,2088-06-16,"",Datum umrtia nemusi byt spravny.
g.11dyjy32k,Duchess Christiane of Mecklenburg,-,1735-12-06,1794-01-01,"",""
g.11b7nwjrxk,Pierre Erwan Guillaume,Pierre-Erwan Guillaume,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
g.11dyjzgjr,Michael A. Savageau,Michael Antonio Savageau,1940-12-03,2040-11-08,"",Datum umrtia nemusi byt spravny.
g.120yrf1c,Nunzio Favia,Puppy,1953-04-18,2053-03-24,"",Datum umrtia nemusi byt spravny.
g.12182kcl,Yukiko Makioka,Makioka Yukiko,1957-01-01,2056-12-07,"",Datum umrtia nemusi byt spravny.
g.12182kcl,Yukiko Makioka,まきおか ゆきこ,1957-01-01,2056-12-07,"",Datum umrtia nemusi byt spravny.
g.12182kcl,Yukiko Makioka,蒔岡 雪子,1957-01-01,2056-12-07,"",Datum umrtia nemusi byt spravny.
g.122kznft,Dmitry Protzko,"Protzko, Dmitry",1980-01-07,2079-12-13,"",Datum umrtia nemusi byt spravny.
g.121jch8r,Julie Wiggen,-,1965-05-23,2065-04-28,"",Datum umrtia nemusi byt spravny.
g.1239jc4w,Kalin Arsov,-,1951-11-16,2051-10-22,"",Datum umrtia nemusi byt spravny.
g.121vxn4j,Marisa Colomber,Marisa Colombara,1928-10-05,2013-07-14,"",""
g.121dv769,Dietrich Rusche,-,1936-09-13,2036-08-19,"",Datum umrtia nemusi byt spravny.
g.120htl04,Princess Qinghe,-,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
g.12148s8q,Marco Berrini,-,1964-01-01,2063-12-07,"",Datum umrtia nemusi byt spravny.
g.11mvrqxdg,Sophie Robert,-,1967-10-03,2067-09-08,"",Datum umrtia nemusi byt spravny.
g.11bc13vmt8,Filippino Gonzaga,-,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
g.1235kprc,Claudio Carini,-,1954-01-01,2053-12-07,"",Datum umrtia nemusi byt spravny.
g.122z_gm3,Holger Meitinger,-,1957-03-28,2057-03-03,"",Datum umrtia nemusi byt spravny.
g.11bc14r512,Shankaraiah Narra,-,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
g.121_4h2r,Günter Schlipper,-,1962-08-13,2062-07-19,"",Datum umrtia nemusi byt spravny.
g.112yfxf28,"Ootaki, Yuuko",Yuko Ootaki,1963-03-19,2063-02-22,"",Datum umrtia nemusi byt spravny.
g.112yfxf28,"Ootaki, Yuuko",Yuko Ohtaki,1963-03-19,2063-02-22,"",Datum umrtia nemusi byt spravny.
g.11bc16kwfz,Ba Tha,-,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
g.11x7vn61k,René Bezard,-,1920-08-07,2008-03-20,"",""
g.12195ygs,Gian Luigi Rizzi,Gigi Rizzi,1946-01-01,2045-12-07,"",Datum umrtia nemusi byt spravny.
g.121yn5rj,Alain Simard,-,-,-,Datum narodenia nemusi byt spravny.,Datum umrtia nemusi byt spravny.
g.122bxt3l,Mietall Waluś,-,1978-01-05,2077-12-11,"",Datum umrtia nemusi byt spravny.
